category,productCategory,sku,model
Audio,Ear Tips,99MO035003,Memory Foam Eartips - Black
Audio,Ear Tips,99MO035004,Silicone Eartips - Black
Audio,Headphones,99MO035007,Avanti - Black
Audio,Headphones,99MO035008,Avanti Air - Black
Audio,Earphones,99MO035023,Vortex Air - Dark Steel
Audio,Headphones,99MO035081,Avanti C - Black
Audio,Headphones,99MO035082,Avanti LT - Black
Audio,Earphones,99MO035202,Vortex pro - Sliver
Audio,Earphones,99MO035204,Mythro - Silver
Audio,SoundBar,99MO035205,Spatia US - Gray/Black
Audio,Earphones,99MO035221,Mythro Air - Jet Silver
Audio,Earphones,99MO035223,Mythro C - Silver
Audio,Earphones,99MO035224,Mythro LT - Silver
Audio,Earphones,99MO035241,Mythro - Titanium Gray
Audio,Earphones,99MO035242,Mythro Air - Gunmetal Gray
Audio,Earphones,99MO035243,Vortex 2 - Silver
Audio,Earphones,99MO035246,Mythro C - Gray
Audio,Earphones,99MO035302,Mythro - Pink
Audio,Earphones,99MO035322,Mythro - Red
Audio,Earphones,99MO035324,Mythro Air - Burgundy Red
Audio,Earphones,99MO035325,Avanti C - Red
Audio,Earphones,99MO035326,Avanti LT - Red
Audio,Earphones,99MO035411,Mythro - Purple
Audio,Earphones,99MO035621,Moonrock - Green
Audio,Headphones,99MO035711,Avanti - Beige
Audio,Headphones,99MO035712,Avanti C - Beige
Audio,Headphones,99MO035713,Avanti LT - Beige
Audio,Earphones,99MO035731,Mythro - Gold
Audio,Earphones,99MO035002,Dulcia - Black
Audio,SoundBar,99MO035208,Spatia TW - Gray/Black
Audio,Earphones,99MO035005,Keramo - Black
Audio,Earphones,99MO035201,Clarus-MFi - Silver
Audio,Earphones,99MO035021,Vortex - Dark Steel
Audio,Earphones,99MO035721,Moonrock - Yellow
Audio,Earphones,99MO035321,Moonrock - Red
Audio,Earphones,99MO035101,Moonrock - White
Audio,Headphones,99MO035323,Avanti - Red
Audio,Earphones,99MO035001,Moonrock - Black
Audio,Earphones,99MO035311,Dulcia - Pink
