Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro/,"4,329","3,406",0:00:27,220,44.55%,11.60%,$0.17
/tw/product/iglaze-xt-clear-case/clear-for-iphone-13-pro/?ref=device:618:iphone 13 pro,"3,091","2,532",0:01:39,354,68.35%,38.63%,$0.29
/en/product/digits-touchscreen-gloves/light-gray-s/,"2,768","2,289",0:01:35,"2,235",60.93%,59.50%,$1.91 
/tw/product/versacover-case-with-folding-cover/savanna-beige-for-ipad-pro-11-inch-1st-2nd-gen/,"2,259","1,709",0:01:26,"1,508",41.76%,42.94%,$0.00 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro/?ref=device:618:iphone 13 pro,"2,248","1,672",0:00:55,181,56.91%,18.59%,$0.28 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-129-inch-5th-gen/,"2,244","1,785",0:00:49,116,58.47%,19.34%,$0.05 
/tw/product/arx-slim-hardshell-case/mirage-black-for-iphone-13-pro/?ref=device:618:iphone 13 pro,"2,223","1,876",0:01:14,224,63.39%,28.52%,$0.12 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-12-9-inch-3rd-4th-gen/,"2,197","1,743",0:00:54,"1,539",38.54%,39.19%,$0.08 
/en/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro/,"2,140","1,742",0:00:32,101,54.90%,18.46%,$0.88 
/en/product/versacover-case-with-folding-cover/metro-black-for-ipad-5th-6th-gen/,"2,073","1,734",0:00:50,"1,607",28.41%,32.27%,$0.85 
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro/?ref=device:618:iphone 13 pro,"1,952","1,561",0:00:59,218,55.50%,26.08%,$0.26 
/tw/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13-pro/?ref=device:618:iphone 13 pro,"1,876","1,494",0:00:57,320,55.14%,27.19%,$0.24 
/tw/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13-pro?ref=device:618:iphone 13 pro,"1,761","1,050",0:00:14,11,8.33%,4.77%,$0.40 
/tw/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro?ref=device:618:iphone 13 pro,"1,647",916,0:00:18,5,0.00%,5.34%,$0.40 
/en/product/muse-13-slim-fit-sleeve/caramel-brown-2021/,"1,616","1,346",0:01:31,"1,295",54.70%,55.45%,$0.77 
/tw/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro/?ref=device:618:iphone 13 pro,"1,589","1,233",0:00:46,210,48.82%,24.80%,$0.22 
/tw/product/arx-clear-slim-hardshell-case/clear-for-iphone-13-pro/?ref=device:618:iphone 13 pro,"1,564","1,356",0:01:24,151,64.05%,29.41%,$0.27 
/tw/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13-pro?ref=device:618:iphone 13 pro,"1,561","1,031",0:00:27,6,33.33%,11.02%,$0.30 
/tw/product/progeo-usb-c-wall-charger-42-w/us-version/,"1,439","1,048",0:00:42,79,55.70%,12.79%,$0.17 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro?ref=device:618:iphone 13 pro,"1,397",810,0:00:18,6,0.00%,7.80%,$0.47 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-11-inch-3rd-1st-gen/?model=189,"1,391","1,044",0:01:05,211,70.09%,28.11%,$0.16 
/en/product/muse-13-slim-fit-sleeve/caramel-brown-2021/?ref=category:36,"1,331","1,101",0:01:27,"1,067",53.05%,55.00%,$0.33 
